net.optimized_memory = 0 
mini_batch = 1, batch = 16, time_steps = 1, train = 0 

 seen 64, trained: 32013 K-images (500 Kilo-batches_64) 
Enter Image Path: data/obj/img/frame91.png: Predicted in 60.124000 milli-seconds.
Enter Image Path: data/obj/img/frame92.png: Predicted in 60.371000 milli-seconds.
Enter Image Path: data/obj/img/frame93.png: Predicted in 59.985000 milli-seconds.
Enter Image Path: data/obj/img/frame94.png: Predicted in 60.541000 milli-seconds.
Enter Image Path: data/obj/img/frame95.png: Predicted in 60.049000 milli-seconds.
Enter Image Path: data/obj/img/frame96.png: Predicted in 60.254000 milli-seconds.
Enter Image Path: data/obj/img/frame97.png: Predicted in 60.438000 milli-seconds.
Enter Image Path: data/obj/img/frame98.png: Predicted in 60.355000 milli-seconds.
Enter Image Path: data/obj/img/frame99.png: Predicted in 60.797000 milli-seconds.
Enter Image Path: 
